000,009 ,Intestinal infectious diseases
010,019 ,Tuberculosis
020,027 ,Zoonotic bacterial diseases
030,039 ,Other bacterial diseases
040,046 ,Poliomyelitis and other enterovirus diseases of central nervous system
050,057 ,Viral diseases accompanied by exanthem
060,068 ,Arthropod-borne viral diseases
070,079 ,Other viral diseases
080,089 ,Rickettsioses and other arthropod-borne diseases
090,099 ,Syphilis and other venereal diseases
100,104 ,Other spirochaetal diseases
110,117 ,Mycoses
120,129 ,Helminthiases
130,136 ,Other infective and parasitic diseases
140,149 ,Malignant neoplasm of buccal cavity and pharynx
150,159 ,Malignant neoplasm of digestive organs and peritoneum
160,163 ,Malignant neoplasm of respiratory system
170,174 ,Malignant neoplasm of bone connective tissue skin and breast
180,189 ,Malignant neoplasm of genito-urinary organs
190,199 ,Malignant neoplasm of other and unspecified sites
200,209 ,Neoplasms of lymphatic and haematopoietic tissue
210,228 ,Benign neoplasms
230,239 ,Neoplasm of unspecified nature
240,246 ,Diseases of thyroid gland
250,258 ,Diseases of other endocrine glands
260,269 ,Avitaminoses and other nutritional deficiency
270,279 ,Other metabolic diseases
280,289 ,Diseases of blood and blood-forming organs
290,299 ,Psychoses
300,309 ,Neuroses personality disorders and other nonpsychotic mental disorders
310,315 ,Mental retardation
320,324 ,Inflammatory diseases of central nervous system
330,333 ,Hereditary and familial diseases of nervous system
340,349 ,Other diseases of central nervous system
350,358 ,Diseases of nerves and peripheral ganglia
360,369 ,Inflammatory diseases of the eye
370,379 ,Other diseases and conditions of eye
380,389 ,Diseases of the ear and mastoid process
390,392 ,Acute rheumatic fever
393,398 ,Chronic rheumatic heart disease
400,404 ,Hypertensive disease
410,414 ,Ischaemic heart disease
420,429 ,Other forms of heart disease
430,438 ,Cerebrovascular disease
440,448 ,Diseases of arteries arterioles and capillaries
450,458 ,Diseases of veins and lymphatics and other diseases of circulatory system
460,466 ,Acute respiratory infections (except influenza)
470,474 ,Influenza
480,486 ,Pneumonia
490,493 ,Bronchitis emphysema and asthma
500,508 ,Other diseases of upper respiratory tract
510,519 ,Other diseases of respiratory system
520,529 ,Diseases of oral cavity salivary glands and jaws
530,537 ,Diseases of oesophagus stomach and duodenum
540,543 ,Appendicitis
544,544 ,Hernia of abdominal cavity
550,553 ,Hernia of abdominal cavity
560,569 ,Other diseases of intestine and peritoneum
570,577 ,Diseases of liver gallbladder and pancreas
580,584 ,Nephritis and nephrosis
590,599 ,Other diseases of urinary system
600,607 ,Diseases of male genital organs
610,616 ,Diseases of breast ovary Fallopian tube and parametrium
620,629 ,Diseases of uterus and other female genital organs
630,634 ,Complications of pregnancy
635,639 ,Urinary infections and toxaemias of pregnancy and the puerperium
640,645 ,Abortion
650,662 ,Delivery
670,678 ,Complications of the puerperium
680,686 ,Infections of skin and subcutaneous tissue
690,698 ,Other inflammatory conditions of skin and subcutaneous tissue
700,709 ,Other diseases of skin and subcutaneous tissue
710,718 ,Arthritis and rheumatism except rheumatic fever
720,729 ,Osteomyelitis and other diseases of bone and joint
730,738 ,Other diseases of musculoskeletal system
740,759 ,Congenital anomalies
760,779 ,Certain causes of perinatal morbidity and mortality
780,789 ,Symptoms referable to systems or organs
790,796 ,Senility and ill-defined diseases
E800,E807 ,Railway accidents
E810,E819 ,Motor vehicle traffic accidents
E820,E823 ,Motor vehicle non-traffic accidents
E825,E827 ,Other road vehicle accidents
E830,E838 ,Water transport accidents
E840,E845 ,Air and space transport accidents
E850,E859 ,Accidental poisoning by drugs and medicaments
E860,E869 ,Accidental poisoning by other solid and liquid substances
E870,E877 ,Accidental poisoning by gases and vapours
E880,E887 ,Accidental falls
E890,E899 ,Accidents caused by fires and flames
E900,E909 ,Accidents due to natural and environmental factors
E910,E929 ,Other accidents
E930,E936 ,Surgical and medical complications and misadventures
E940,E949 ,Late effects of accidental injury
E950,E959 ,Suicide and self-inflicted injury
E960,E969 ,Homicide and injury purposely inflicted by other persons
E970,E978 ,Legal intervention
E980,E989 ,Injury undetermined whether accidentally or purposely inflicted
E990,E999 ,Injury resulting from operations of war
N800,N809 ,Fracture of skull spine and trunk
N810,N819 ,Fracture of upper limb
N820,N829 ,Fracture of lower limb
N830,N839 ,Dislocation without fracture
N840,N848 ,Sprains and strains of joints and adjacent muscles
N850,N854 ,Intracranial injury (excluding those with skull fracture)
N860,N869 ,Internal injury of chest abdomen and pelvis
N870,N879 ,Laceration and open wound of head neck and trunk
N880,N887 ,Laceration and open wound of upper limb
N890,N897 ,Laceration and open wound of lower limb
N900,N907 ,Laceration and open wound of multiple location
N910,N918 ,Superficial injury
N920,N929 ,Contusion and crushing with intact skin surface
N930,N939 ,Effects of foreign body entering through orifice
N940,N949 ,Burns
N950,N959 ,Injury to nerves and spinal cord
N960,N979 ,Adverse effect of medicinal agents
N980,N989 ,Toxic effect of substances chiefly nonmedicinal as to source
N990,N999 ,Other adverse effects
Y00,Y09 ,Examination and investigation of specific systems without reported diagnosis
Y10,Y19 ,Other examination without reported diagnosis
Y20,Y29 ,Medical and surgical procedures without reported diagnosis
Y30,Y39 ,Medical and surgical aftercare without current complaint or sickness
Y40,Y49 ,Persons undergoing preventive measures
Y50,Y59 ,Elective surgery
Y60,Y69 ,Maternal and well-baby care
Y70,Y79 ,Other persons without current complaint or sickness
Y80,Y89 ,Healthy liveborn infants according to type of birth
